rank,region_id,region_name,province_name,district_name,hospital_code,hospital_name,hospital_type,masks,encounters,citizens,masks_per_citizen,answered,unanswered,answered_pct,median_reply_hours,p90_reply_hours,oldest_unanswered_days,matched,unmatched,match_rate_pct,masks_prior_90d,masks_recent_90d,change_90d_pct,share_pct,first_date_be,last_date_be,status_pending,status_in_progress,status_completed,status_no_error_found,status_not_recorded,status_unexpected_code,action_none_yet,action_data_corrected,action_other,action_not_recorded,action_unexpected_code
11,2,เขตสุขภาพที่ 2,พิษณุโลก,บางกระทุ่ม,07552,โรงพยาบาลส่งเสริมสุขภาพตำบลเนินกุ่ม,โรงพยาบาลส่งเสริมสุขภาพตำบล,19,19,2,9.5,0,19,0.0,,,7.6,19,0,100.0,1,0,-100.0,3.49,25620221,25690203,0,0,0,0,19,0,0,0,0,19,0
12,2,เขตสุขภาพที่ 2,พิษณุโลก,วังทอง,77747,ศูนย์สุขภาพชุมชนร่วมใจ,ศูนย์สุขภาพชุมชน ของ รพ. / เมือง (ศสม.),16,16,2,8.0,0,16,0.0,,,6.6,16,0,100.0,0,0,,2.94,25650205,25681220,0,0,0,0,16,0,0,0,0,16,0
13,2,เขตสุขภาพที่ 2,พิษณุโลก,เมืองพิษณุโลก,07492,โรงพยาบาลส่งเสริมสุขภาพตำบลพลายชุมพล,ศูนย์บริการสาธารณสุข อปท.,16,16,13,1.23,0,16,0.0,,,9.8,16,0,100.0,8,0,-100.0,2.94,25670801,25690217,0,0,0,0,16,0,0,0,0,16,0
14,2,เขตสุขภาพที่ 2,พิษณุโลก,วัดโบสถ์,07571,โรงพยาบาลส่งเสริมสุขภาพตำบลท้อแท้,โรงพยาบาลส่งเสริมสุขภาพตำบล,15,15,1,15.0,15,0,100.0,111.7,115.8,,15,0,100.0,1,0,-100.0,2.75,25620301,25690305,0,0,0,0,15,0,0,0,0,15,0
15,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,07528,โรงพยาบาลส่งเสริมสุขภาพตำบลพันเสา,โรงพยาบาลส่งเสริมสุขภาพตำบล,15,15,2,7.5,0,15,0.0,,,8.3,15,0,100.0,0,0,,2.75,25620120,25681129,0,0,0,0,15,0,0,0,0,15,0
16,2,เขตสุขภาพที่ 2,พิษณุโลก,บางระกำ,07537,โรงพยาบาลส่งเสริมสุขภาพตำบลชุมแสงสงคราม,โรงพยาบาลส่งเสริมสุขภาพตำบล,12,12,2,6.0,0,12,0.0,,,8.0,12,0,100.0,0,2,,2.2,25620128,25690612,0,0,0,0,12,0,0,0,0,12,0
17,2,เขตสุขภาพที่ 2,พิษณุโลก,วังทอง,07584,สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี บ้านกลาง,โรงพยาบาลส่งเสริมสุขภาพตำบล,9,9,3,3.0,0,9,0.0,,,8.2,9,0,100.0,4,0,-100.0,1.65,25660215,25690401,0,0,0,0,9,0,0,0,0,9,0
18,2,เขตสุขภาพที่ 2,พิษณุโลก,วังทอง,11256,โรงพยาบาลวังทอง,โรงพยาบาลชุมชน,8,8,5,1.6,0,8,0.0,,,7.6,8,0,100.0,0,1,,1.47,25650125,25690513,0,0,0,0,8,0,0,0,0,8,0
19,2,เขตสุขภาพที่ 2,พิษณุโลก,วัดโบสถ์,07572,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท้อแท้,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,2,4.0,8,0,100.0,0.3,43.5,,8,0,100.0,0,0,,1.47,25640304,25670611,0,0,0,0,8,0,0,0,0,8,0
20,2,เขตสุขภาพที่ 2,พิษณุโลก,วังทอง,07582,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังน้ำใส,โรงพยาบาลส่งเสริมสุขภาพตำบล,8,8,3,2.67,0,8,0.0,,,7.8,8,0,100.0,4,0,-100.0,1.47,25660125,25690326,0,0,0,0,8,0,0,0,0,8,0
